#,Negocio,Dirección,⭐,💰 Precio (MXN),📝 Observaciones,📍 Google Maps,phone,hours,website,photo,plusCode,isTop10,reviewCount,fullHours,priceLevel,category
79,Lonches Bañados Leo,"4.5(1,085) · $100-200",4.5,$100-200,Muy buenos los lonches y hamburguesas bañados en salsa caliente con crema,https://www.google.com/maps/place/Lonches+Ba%C3%B1ados+Leo/data=!4m7!3m6!1s0x8428ae6f0459a703:0x9abd6ad8d36766cd!8m2!3d20.6774308!4d-103.3909014!16s%2Fg%2F11b8c3rmq0!19sChIJA6dZBG-uKIQRzWZn09hqvZo?authuser=0&hl=es-419&rclk=1,"
+52 33 2030 1667","Horarios de mayor concurrencia
miércoles



EN TIEMPO REALUn poco concurrido
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
12a.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF04hBbU2P5AHa-af4VMQL-zfwN1JJ56xjXDy533falRaE80FYrhJfju4z5-_44mVmwuK9ESAIBNiCvOocMo49c6P88vEOlibXk4vRGIAfZQdgZkhUer7OPmXNqzmnH_zEltV7C=w1000-h1000-k-no,N/A,false,1085,N/A,N/A,Restaurante
80,Tortas Ahogadas Vero,"4.6(1,078) · $1-100",4.6,$1-100,Ricas tortas ahogadas y sus taquitos blanditos Muy ricos,https://www.google.com/maps/place/Tortas+Ahogadas+Vero/data=!4m7!3m6!1s0x8428b227c9d3af4b:0x7dd00acd55605708!8m2!3d20.6649745!4d-103.3257286!16s%2Fg%2F11bw61yyrb!19sChIJS6_TySeyKIQRCFdgVc0K0H0?authuser=0&hl=es-419&rclk=1,"
+52 33 2613 5117","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/share/17ufvmSM9p/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHILJF3r1-hsERScmVWDz2SoVAOEa3dIHGujEz9vhIj97zdDVViXMYl-LLyFOKRgJVebc2I20HGN8-F9ixpPEU5X7nZA3-8byqpk5osLWoHcVIl7NRoZQ0Pi1hgYSVeeA1rlmXiJ_FUl4w=w1000-h1000-k-no,N/A,false,1078,N/A,N/A,Restaurante de comida rápida
81,El Pesebre Lonches,Mexicana ·  · Av. Fidel Velazquez 56,4.5,$100-200,"Amo los lonches de ahí, y la ensalada de pasta con atún 10/10",https://www.google.com/maps/place/El+Pesebre+Lonches/data=!4m7!3m6!1s0x8428b1b100a09c25:0xf791018da0b07e9c!8m2!3d20.705705!4d-103.3269899!16s%2Fg%2F1tdkx_fr!19sChIJJZygALGxKIQRnH6woI0Bkfc?authuser=0&hl=es-419&rclk=1,"
+52 33 3638 5259","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.elpesebre.com.mx/index.php/sucursales,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZcHuwprT18JnHVf9ZNOc6rMs_zd45NlFty1Ot-0FDm19ftA1XyVLTKoT4J0lskEnRy8_MWeYjubZ0ZmF1Z2VDdO31EQIGWAkVZtxmk7z0Xg6wOMuSdXEEhCUKM9JvH_lBD_4=w1000-h1000-k-no,N/A,false,1072,N/A,N/A,Restaurante mexicano
82,Ahogadas y Mariscos Rogelio,Marisco · C. Venezuela 665,4.6,$100-200,"Muy buen pan de torta ahogada, muy buena carne.",https://www.google.com/maps/place/Ahogadas+y+Mariscos+Rogelio/data=!4m7!3m6!1s0x8428ae00c33f32a5:0xaf6c21e197eb5c40!8m2!3d20.6664094!4d-103.3633461!16s%2Fg%2F1pp2vmtxk!19sChIJpTI_wwCuKIQRQFzrl-EhbK8?authuser=0&hl=es-419&rclk=1,"
+52 33 1363 3022","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfPLA_WIw89U02tr9954XiyuZWyduXdE325qo9B-5Z73AxqHlpdgqdbKqzOUzJdMNGj0Khd5s1I6CecCe1hlKDaaIBq4x22U4fp-JEtkl9gDVxgiBrLPMduKhmu-vwp-jiAys=w1000-h1000-k-no,N/A,false,1060,N/A,N/A,Marisquería
83,Tortas los ruvalcaba,"4.2(1,027) · $100-200",4.2,$100-200,"4.2(1,027) · $100-200",https://www.google.com/maps/place/Tortas+los+ruvalcaba/data=!4m7!3m6!1s0x8428af9de275f8cd:0xbda2a8884e585d1!8m2!3d20.6589484!4d-103.4459289!16s%2Fg%2F1tlbpgkj!19sChIJzfh14p2vKIQR0YXlhIgq2gs?authuser=0&hl=es-419&rclk=1,"
+52 33 3628 2808","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsHBnnJE9AxWlwx1vfwin3P1fDljzZyhhPHiHttvVdJPdnQ_J6SWztxiEjDtoafrM4wyqccFR6FDQXgBZV3jgVmWkulEbqLqetTisazRyTZx0BQH45sd8nXEjiDQqW0v0sNIJJ=w1000-h1000-k-no,N/A,false,1027,N/A,N/A,Restaurante mexicano
84,Tortas Ahogadas Pepe's Santa Tere,Mexicana · C. Pedro Antonio Buzeta 554,4.6,$100-200,"Muy buenas tortas ahogadas, excelentes las salsas, vuelvo a regresar!",https://www.google.com/maps/place/Tortas+Ahogadas+Pepe%27s+Santa+Tere/data=!4m7!3m6!1s0x8428ae183da61387:0xde89998ab6d32467!8m2!3d20.6857672!4d-103.3693283!16s%2Fg%2F1q66091rw!19sChIJhxOmPRiuKIQRZyTTtoqZid4?authuser=0&hl=es-419&rclk=1,"
+52 33 3825 3315","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/TortasPepesSantaTeresita/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGIuhrZVIyidx_SG9uA997lOIkDHZ-x6pFy8EZc0ivQ-JaHdA_yfchkDZku5RFesKbdZM4BcBbOCDYnV_vG8eJVY1gwDWVjRkFk4oNTHdvdfU5C79oizPizUaDesylNbrmaJVC2=w1000-h1000-k-no,N/A,false,1014,N/A,N/A,Restaurante mexicano
85,AHOGADAS BRISEÑO,Mexicana · Av. Perif. Pte. Manuel Gómez Morin 14A,4.4,$100-200,"De las mejores tortas ahogadas, muy ricas en sabor y porción.",https://www.google.com/maps/place/AHOGADAS+BRISE%C3%91O/data=!4m7!3m6!1s0x8428ac6f4b35cb69:0xd2d452cacd4363f9!8m2!3d20.6251112!4d-103.4339273!16s%2Fg%2F1pzsl28w_!19sChIJacs1S2-sKIQR-WNDzcpS1NI?authuser=0&hl=es-419&rclk=1,"
+52 33 1641 6714","Horarios de mayor concurrencia
miércoles



Cerrado los miércoles—elige otro día
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAErzZD3l1RNyFWQuSigwSMCjQhmTDPvTZL9EaXJSO3aWk01tyKL__QXE46pFT7Av608WwaNbNdQpnWpESyp01-tpP7iRg_TmI-JzyCP8U1bo7DQVBafeDcY6RK7m06vLBokgDk5zQ=w1000-h1000-k-no,N/A,false,1001,N/A,N/A,Restaurante mexicano
86,VINO DE MAR ( Sucursal Tonalá),Marisco ·  · C. Francisco I. Madero 150,4.7,$$,4.7(996) · $$,https://www.google.com/maps/place/VINO+DE+MAR+%28+Sucursal+Tonal%C3%A1%29/data=!4m7!3m6!1s0x8428b52160d0ca1f:0x2d4ef575734d4368!8m2!3d20.6210444!4d-103.2434219!16s%2Fg%2F11mqqkngt5!19sChIJH8rQYCG1KIQRaENNc3X1Ti0?authuser=0&hl=es-419&rclk=1,"
+52 33 1984 6537","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOEWRE8SIm81fquuJKYX36P6nq3vUY5qdrQ0b9k9FDENeEqmmNIiVgeWRCBdcQkO3gbWrnAqRoT981-5Vp8NyjtCddlsSTF3vkO-LSvtnSmPf0bj6Kc9LNVu04Cp9rkV6Icj7a=w1000-h1000-k-no,N/A,false,996,N/A,$$,N/A
87,Tortas Ahogadas Pepe (Sucursal Sierra Madre),Comida rápida ·  · C. Sierra Madre 286,4.6,$1-100,"Ricas las tortas ahogadas, los tacos blandos y los tacos dorados.",https://www.google.com/maps/place/Tortas+Ahogadas+Pepe+%28Sucursal+Sierra+Madre%29/data=!4m7!3m6!1s0x8428b1bdbe24cfa7:0xbd97abda3c890b4e!8m2!3d20.6922131!4d-103.3285846!16s%2Fg%2F1ptx_c50h!19sChIJp88kvr2xKIQRTguJPNqrl70?authuser=0&hl=es-419&rclk=1,"
+52 33 3342 1134","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSkLBde0QUXTxjiaqDZLayC675fJwDRyZ3kpGRfrMDXIqbIrJtAEeAL55osfA1YfSae_guEeiHTHrHm--9qs0BEQDEFaSAc3puAjYGedsfgbA7hnKKVa7RAxr-0SoefeZRZA0jFA=w1000-h1000-k-no,N/A,false,972,N/A,N/A,Restaurante de comida rápida
88,Tortas Ahogadas Chava,4.5(968) · $1-100,4.5,$1-100,Sin duda este lugar tiene unas excelentes tortas y tacos ahogados!,https://www.google.com/maps/place/Tortas+Ahogadas+Chava/data=!4m7!3m6!1s0x8428b1ce467eeeb9:0x3317006071b09e0a!8m2!3d20.7047478!4d-103.345319!16s%2Fg%2F1ptwv8ndr!19sChIJue5-Rs6xKIQRCp6wcWAAFzM?authuser=0&hl=es-419&rclk=1,"
+52 33 3824 6960","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEVBokz4ZgBx8rbpZCwkxeZ7UZlZ9ATb-ZOK931RTyn1Jg8P66hpYNgp4n-55W4XpP3lZ20icfEAljyB8UP1rraeLwJGJc62ZYdNV5pCJ8vmV3ipJSR12-2TsWhNVoE9x5r2RS8w=w1000-h1000-k-no,N/A,false,968,N/A,N/A,Restaurante de comida rápida
89,El Ahogacentro Tortas Ahogadas,Comida rápida ·  · C. Ocampo 187,4.5,$1-100,"Muy ricas tortas, la salsa es picante pero muy rica, sin duda volvería.",https://www.google.com/maps/place/El+Ahogacentro+Tortas+Ahogadas/data=!4m7!3m6!1s0x8428b1fa51313573:0xd3c9f4565bd9281e!8m2!3d20.6739375!4d-103.3495792!16s%2Fg%2F1ptwyn1xs!19sChIJczUxUfqxKIQRHijZW1b0ydM?authuser=0&hl=es-419&rclk=1,"
+52 33 1467 3942","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://ahogacentro.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHnm3agl-xCoBPLyiDeaushCDixeDx0PzRIKJ7nZ-fDl03qp2xce_lViwR_BPCZ-4hEUQ0iE74-MsZEHEFdGMLYiWf0_T0MuvQXioWEaSFCK8xklztR9bQlPwRsabtF9s4SvJhh=w1000-h1000-k-no,N/A,false,965,N/A,N/A,Restaurante de comida rápida
90,Tortas Ahogadas Rigo,Comida rápida ·  · C. Esmeralda 574,4.6,$1-100,"Super ricas sus Tortas Ahogadas, su servicio es excelente 👌",https://www.google.com/maps/place/Tortas+Ahogadas+Rigo/data=!4m7!3m6!1s0x8428b1eb63968b9f:0x2cbbea4765f95ff9!8m2!3d20.6842862!4d-103.3375496!16s%2Fg%2F11b86623_6!19sChIJn4uWY-uxKIQR-V_5ZUfquyw?authuser=0&hl=es-419&rclk=1,"
+52 33 3552 2081","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEbS6gBQzH_LGnDpbdkCRz6QnzIe7OhPywbWdqeKAHijcTXxMkGyG8IW-syZyaSb8TH_FBvDMihlKtxBjg1QaSWJJlQwPWHqYOkVK0ztgOSJ8mfSsbBUax7gj1-YtvtSbiffFXXcVd8Yf_Z=w1000-h1000-k-no,N/A,false,934,N/A,N/A,Restaurante de comida rápida
91,Tortas Ahogadas El Güerito,Mexicana · Calle Francisco I. Madero 13,4.0,$100-200,Buenas tortas ahogadas y tostadas de carnitas,https://www.google.com/maps/place/Tortas+Ahogadas+El+G%C3%BCerito/data=!4m7!3m6!1s0x8428b1f12323ffff:0x2cf17a65a5ecd64f!8m2!3d20.6730994!4d-103.3436262!16s%2Fg%2F11gfd4vr_r!19sChIJ__8jI_GxKIQRT9bspWV68Sw?authuser=0&hl=es-419&rclk=1,"
+52 33 3613 5622","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZ7c0Pj4FzsgllfLNFhlRygLUXmqp-9iqIeqTfZOCOmvh-xLYriX781_mqnNB-3t5WV8i8_plx7ca5F2SeiboyZlucDcNsqUUnyeImiJibe15zl_vqEis8x3p4B_MOmMBnA5ZZVW5MRIJH=w1000-h1000-k-no,N/A,false,933,N/A,N/A,Restaurante mexicano
92,Tortas Ahogadas Chamán,4.1(930) · $100-200,4.1,$100-200,Buenas tortas ahogadas y buen servicio para ir a desayunar y comer.,https://www.google.com/maps/place/Tortas+Ahogadas+Cham%C3%A1n/data=!4m7!3m6!1s0x842f4cdc480ef207:0x2a44044822795384!8m2!3d20.5658455!4d-103.2971188!16s%2Fg%2F11c5qn2v30!19sChIJB_IOSNxML4QRhFN5IkgERCo?authuser=0&hl=es-419&rclk=1,"
+52 33 3689 6262","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZ5ZHHg1TMxs6b-ZwPh1DbyyUfkMaXcaaqKa4ouJ7yvOGgd7sBUS_lkxYjM9ScFC7zqr2D3o4VGkKnrIW_FDZljOpMW-lCyYjmzXYv9Nc1jFaPLevjNXF4EuFVjgOrTzHBaxI=w1000-h1000-k-no,N/A,false,930,N/A,N/A,Restaurante de comida rápida
93,Lonches Gemma by Chepe,Restaurante ·  · Av. Cvln. Jorge Álvarez del Castillo 1446,4.0,$100-200,Excelente servicio y los lonches delis sabrosa salsa,https://www.google.com/maps/place/Lonches+Gemma+by+Chepe/data=!4m7!3m6!1s0x8428ae2f196270df:0x8d9d3496f594a09!8m2!3d20.7016023!4d-103.3661937!16s%2Fg%2F11f01txmcg!19sChIJ33BiGS-uKIQRCUpZb0nT2Qg?authuser=0&hl=es-419&rclk=1,"
+52 33 2303 0145","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://linktr.ee/lonchesgemma,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEM6lrtbwJft3J0tyTuKSeGK4l3XhbbxX5e3NK9QtQXDoElPxSOiD8Eh-FpvpdaI2yLbGVnWMa4qa_sct7UAOLkejixYtaijTRcesqGFciitLLLPlRM2qnatEY7WzNn5mkmxN6=w1000-h1000-k-no,N/A,false,902,N/A,N/A,Restaurante
94,LA REAL TORTERÍA,Restaurante · Av. 8 de Julio 4854,4.9,$1-100,4.9(884) · $1-100,https://www.google.com/maps/place/LA+REAL+TORTER%C3%8DA/data=!4m7!3m6!1s0x8428b36a0f2ff3bb:0x1ac7d453157c5e4b!8m2!3d20.6095963!4d-103.376423!16s%2Fg%2F11f9j9fdzx!19sChIJu_MvD2qzKIQRS158FVPUxxo?authuser=0&hl=es-419&rclk=1,"
+52 33 3280 6940","Horarios de mayor concurrencia
miércoles



Cerrado los miércoles—elige otro día
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEDP1DcJAAQh-PwdJ1hH3PFXsVkRlB5V5UCUOGzfxUbDi8IUJ6TxcGheO4JFsLHFyDHR1SdfD4t9BNtDKhDu7Qq9cC4CVaT3jGcfIhXadmTPaN22tST1_l60ERO_65E3eMYiv56dqnNANty=w1000-h1000-k-no,N/A,false,884,N/A,N/A,Restaurante
95,El Ranger Tortas Ahogadas,4.2(862) · $1-100,4.2,$1-100,Muy buenas tortas ahogadas,https://www.google.com/maps/place/El+Ranger+Tortas+Ahogadas/data=!4m7!3m6!1s0x842f535af39a813d:0x205762ebebf400c3!8m2!3d20.5514859!4d-103.4420554!16s%2Fg%2F11b6s3gr8_!19sChIJPYGa81pTL4QRwwD06-tiVyA?authuser=0&hl=es-419&rclk=1,"
+52 33 1404 6248","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAESAzSYzusY8JUscgqBfDHdrk4F50QI2QMfzZ0qrr4dZbVfMRyN1CbtVxY3q3Z6fqMZtZXG1yBgQMg4INQDPZezOq-k4RMttpeA14JO96rkakxJ39n4DThJDVzoEg_1mzp5GvoL=w1000-h1000-k-no,N/A,false,862,N/A,N/A,Restaurante de comida rápida
96,Tortas Ahogadas Mister Zurdo,Mexicana · Av. Héroe de Nacozari 1694,4.4,$100-200,"Deliciosas tortas ahogadas, de carnitas y Camaron, y sus tacos 🌮 blandos.",https://www.google.com/maps/place/Tortas+Ahogadas+Mister+Zurdo/data=!4m7!3m6!1s0x8428b20b85c1c791:0x5c3cdfa1ff365590!8m2!3d20.645426!4d-103.3533995!16s%2Fg%2F1pty4cpyw!19sChIJkcfBhQuyKIQRkFU2_6HfPFw?authuser=0&hl=es-419&rclk=1,"
+52 33 3019 5580","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHioT6PaNMxuYMhKuRDxVJ9reoAd_LRJo-5A_iSoygnAxZ3UrK14OE38XH87oKwr8l7cFBxKAGeCOLpQciX1HMsrR4js37saGu5c2hfjHzwBdeMtlKSLGhNF0HU7GulrIwDQJc9ONY7NB4O=w1000-h1000-k-no,N/A,false,858,N/A,N/A,Restaurante mexicano
97,Tortas Ahogadas Los Chamucos Beer,4.3(835) · $1-100,4.3,$1-100,"Muy buenas tortas ahogadas, buen servicio, buen precio",https://www.google.com/maps/place/Tortas+Ahogadas+Los+Chamucos+Beer/data=!4m7!3m6!1s0x8428b2df061b49bf:0x11773bbeb81c88de!8m2!3d20.5948591!4d-103.3147533!16s%2Fg%2F11c30qm4gt!19sChIJv0kbBt-yKIQR3ogcuL47dxE?authuser=0&hl=es-419&rclk=1,"
+52 33 3689 6296","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1L_KkMIOYmzA9_qea6hOdAaMy7Ay2nGKwIwsyRiRiM6vBdW-IoJTiC6DeU3jlW089MhFw6iHy9zdF66THQ1_F_nLPUx96mo53oYl13eK21Gs2TwlhNLzy1dEwF2S7rHGxx94=w1000-h1000-k-no,N/A,false,835,N/A,N/A,Restaurante mexicano
98,Tortas Ahogadas Lión,Mexicana · Av. de la Paz 1555,4.9,$1-100,Esta muy bien está buenas las tortas ahogadas delicioso,https://www.google.com/maps/place/Tortas+Ahogadas+Li%C3%B3n/data=!4m7!3m6!1s0x8428afd9e5f67e57:0x2436956fe6d5157e!8m2!3d20.670152!4d-103.3602081!16s%2Fg%2F11r_vtl26x!19sChIJV3725dmvKIQRfhXV5m-VNiQ?authuser=0&hl=es-419&rclk=1,"
+52 33 1757 7831","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHy-XKcfUAvXTooYFqcLuOdy6zCliF-CpNveHRwMlQRikk33R4K95UTxP6XWCOUQlcXIM4dhM0eoeiBNZbHReqhsFJe5LA-kDsH6GnXiIxaYuDWElQ1XjNT5Lu1cG0iobhCcb2o2McuJIU=w1000-h1000-k-no,N/A,false,827,N/A,N/A,Restaurante mexicano
99,TORTAS BENDITAS AHOGADAS,4.4(805) · $100-200,4.4,$100-200,... con la familia y muy buena experiencia con las tortas ahogadas,https://www.google.com/maps/place/TORTAS+BENDITAS+AHOGADAS/data=!4m7!3m6!1s0x8428a8f510f2ee6f:0xd90ee66b30d0e7ff!8m2!3d20.7221181!4d-103.4954469!16s%2Fg%2F11hd1z55k_!19sChIJb-7yEPWoKIQR_-fQMGvmDtk?authuser=0&hl=es-419&rclk=1,"
+52 33 3801 3522","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmL6pEsjyUvUu1WgbiE1t7evRpoUikDwzdMuJrnAvdtyUYOUYNo0KMvIbs3hgSi473TMXXrRScgZe5-HicfrghNYwWUbRnXrV0rNaRLEYntHAuSVHzEZxhx8CzeRDoI3PbKZF4Ow=w1000-h1000-k-no,N/A,false,805,N/A,N/A,Restaurante de comida rápida
100,Tortas ahogadas enriques,Comida rápida ·  · C. Gigantes 534,4.6,$100-200,"Muy ricas las tortas ahogadas, los tacos dorados y el agua muy ricos.",https://www.google.com/maps/place/Tortas+ahogadas+enriques/data=!4m7!3m6!1s0x8428b18b73365951:0xbaefe3d83bd1585b!8m2!3d20.6711162!4d-103.3331543!16s%2Fg%2F11c4vq4dp4!19sChIJUVk2c4uxKIQRW1jRO9jj77o?authuser=0&hl=es-419&rclk=1,"
+52 33 3617 6015","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvHKwLWcg4ukagNjOGxn-JwKJpMNHf5Cw33Kl4TuywS4lrytFyZ7pCGensVb4hspCkVCTURY_KBUb0vZoax_n5Fs5ZPZArGM6cAqfHqQgpOsSvaDhCjdTCoAdanGPnKYO7C3zlHzZX6yCV=w1000-h1000-k-no,N/A,false,803,N/A,N/A,Restaurante de comida rápida
